PERMNO,DLC,DLTT,DATE,COMNAM,RET,me,f,ym,TCMNOM_Y1,ir
11042,5015,13878,2000/10/2,WORLDCOM INC GA NEW,-0.030864198,84678.05794,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/3,WORLDCOM INC GA NEW,0.014861995,85936.54288,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/4,WORLDCOM INC GA NEW,-0.056485355,81082.38669,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/5,WORLDCOM INC GA NEW,-0.079822615,74610.17844,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/6,WORLDCOM INC GA NEW,-0.028915662,72452.77569,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/9,WORLDCOM INC GA NEW,0.029776676,74610.17844,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/10,WORLDCOM INC GA NEW,0.024096385,76408.01406,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/11,WORLDCOM INC GA NEW,-0.030588236,74070.82775,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/12,WORLDCOM INC GA NEW,-0.101941749,66519.91813,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/13,WORLDCOM INC GA NEW,0.05135135,69935.80581,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/16,WORLDCOM INC GA NEW,-0.053984575,66160.351,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/17,WORLDCOM INC GA NEW,-0.051630434,62744.46331,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/18,WORLDCOM INC GA NEW,0.097421207,68857.10444,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/19,WORLDCOM INC GA NEW,0.117493473,76947.36475,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/20,WORLDCOM INC GA NEW,-0.039719626,73891.04419,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/23,WORLDCOM INC GA NEW,0.041362531,76947.36475,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/24,WORLDCOM INC GA NEW,0.007009346,77486.71544,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/25,WORLDCOM INC GA NEW,-0.062645011,72632.55925,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/26,WORLDCOM INC GA NEW,-0.138613865,62564.67975,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/27,WORLDCOM INC GA NEW,0.014367816,63463.59756,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/30,WORLDCOM INC GA NEW,0.127478749,71553.85788,11954,200010,6.01,0.0601
11042,5015,13878,2000/10/31,WORLDCOM INC GA NEW,-0.045226131,68378.625,11954,200010,6.01,0.0601
11042,5015,13878,2000/11/1,WORLDCOM INC GA NEW,-0.202631578,54522.95625,11954,200011,6.09,0.0609
11042,5015,13878,2000/11/2,WORLDCOM INC GA NEW,-0.072607264,50564.19375,11954,200011,6.09,0.0609
11042,5015,13878,2000/11/3,WORLDCOM INC GA NEW,0.024911031,51823.8,11954,200011,6.09,0.0609
11042,5015,13878,2000/11/6,WORLDCOM INC GA NEW,0.003472222,52003.74375,11954,200011,6.09,0.0609
11042,5015,13878,2000/11/7,WORLDCOM INC GA NEW,-0.010380623,51463.9125,11954,200011,6.09,0.0609
11042,5015,13878,2000/11/8,WORLDCOM INC GA NEW,-0.052447554,48764.75625,11954,200011,6.09,0.0609
11042,5015,13878,2000/11/9,WORLDCOM INC GA NEW,-0.047970481,46425.4875,11954,200011,6.09,0.0609
11042,5015,13878,2000/11/10,WORLDCOM INC GA NEW,-0.03875969,44626.05,11954,200011,6.09,0.0609
11042,5015,13878,2000/11/13,WORLDCOM INC GA NEW,0.056451611,47145.2625,11954,200011,6.09,0.0609
